X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
4,5,sep,fri,94.3,85.1,692.3,15.9,17.7,37.0,3.6,0.0,0.0
5,4,mar,fri,91.7,33.3,77.5,9.0,15.6,25.0,6.3,0.0,0.0
5,4,aug,tue,88.8,147.3,614.5,9.0,17.3,43.0,4.5,0.0,0.0
5,4,sep,fri,93.3,141.2,713.9,13.9,27.6,30.0,1.3,0.0,0.0
9,9,feb,thu,84.2,6.8,26.6,7.7,6.7,79.0,3.1,0.0,0.0
9,9,feb,fri,86.6,13.2,43.0,5.3,15.7,43.0,3.1,0.0,0.0
1,3,mar,mon,87.6,52.2,103.8,5.0,8.3,72.0,3.1,0.0,0.0
1,2,aug,fri,90.1,108.0,529.8,12.5,14.7,66.0,2.7,0.0,0.0
1,2,aug,tue,91.0,121.2,561.6,7.0,21.6,19.0,6.7,0.0,0.0
1,2,aug,sun,91.4,142.4,601.4,10.6,19.5,39.0,6.3,0.0,0.0
1,2,aug,sun,90.2,99.6,631.2,6.3,17.9,44.0,2.2,0.0,0.0
1,2,aug,tue,94.8,108.3,647.1,17.0,18.6,51.0,4.5,0.0,0.0
1,2,aug,wed,92.1,111.2,654.1,9.6,16.6,47.0,0.9,0.0,0.0
1,2,aug,thu,91.7,114.3,661.3,6.3,20.2,45.0,3.6,0.0,0.0
1,2,sep,thu,92.9,137.0,706.4,9.2,21.5,15.0,0.9,0.0,0.0
1,2,sep,thu,92.9,137.0,706.4,9.2,25.4,27.0,2.2,0.0,0.0
1,2,sep,thu,92.9,137.0,706.4,9.2,22.4,34.0,2.2,0.0,0.0
1,2,sep,sun,93.5,149.3,728.6,8.1,25.3,36.0,3.6,0.0,0.0
6,5,mar,sat,91.7,35.8,80.8,7.8,17.4,25.0,4.9,0.0,0.0
6,5,aug,sat,90.2,96.9,624.2,8.9,14.7,59.0,5.8,0.0,0.0
8,6,mar,fri,91.7,35.8,80.8,7.8,17.4,24.0,5.4,0.0,0.0
8,6,aug,sun,92.3,85.3,488.0,14.7,20.8,32.0,6.3,0.0,0.0
8,6,aug,sun,91.4,142.4,601.4,10.6,18.2,43.0,4.9,0.0,0.0
8,6,aug,mon,91.1,103.2,638.8,5.8,23.4,22.0,2.7,0.0,0.0
4,4,sep,sun,89.7,90.0,704.4,4.8,17.8,64.0,1.3,0.0,0.0
3,4,feb,sat,83.9,8.0,30.2,2.6,12.7,48.0,1.8,0.0,0.0
3,4,mar,sat,69.0,2.4,15.5,0.7,17.4,24.0,5.4,0.0,0.0
3,4,aug,sun,91.4,142.4,601.4,10.6,11.6,87.0,4.5,0.0,0.0
3,4,aug,sun,91.4,142.4,601.4,10.6,19.8,39.0,5.4,0.0,0.0
3,4,aug,sun,91.4,142.4,601.4,10.6,19.8,39.0,5.4,0.0,0.0
3,4,aug,tue,88.8,147.3,614.5,9.0,14.4,66.0,5.4,0.0,0.0
2,4,aug,tue,94.8,108.3,647.1,17.0,20.1,40.0,4.0,0.0,0.0
2,4,sep,sat,92.5,121.1,674.4,8.6,24.1,29.0,4.5,0.0,0.0
2,4,jan,sat,82.1,3.7,9.3,2.9,5.3,78.0,3.1,0.0,0.0
4,5,mar,fri,85.9,19.5,57.3,2.8,12.7,52.0,6.3,0.0,0.0
4,5,mar,thu,91.4,30.7,74.3,7.5,18.2,29.0,3.1,0.0,0.0
4,5,aug,sun,90.2,99.6,631.2,6.3,21.4,33.0,3.1,0.0,0.0
4,5,sep,sat,92.5,88.0,698.6,7.1,20.3,45.0,3.1,0.0,0.0
4,5,sep,mon,88.6,91.8,709.9,7.1,17.4,56.0,5.4,0.0,0.0
4,4,mar,fri,85.9,19.5,57.3,2.8,13.7,43.0,5.8,0.0,0.0
3,4,mar,fri,91.7,33.3,77.5,9.0,18.8,18.0,4.5,0.0,0.0
3,4,sep,sun,89.7,90.0,704.4,4.8,22.8,39.0,3.6,0.0,0.0
3,4,sep,mon,91.8,78.5,724.3,9.2,18.9,35.0,2.7,0.0,0.0
3,4,mar,tue,88.1,25.7,67.6,3.8,15.8,27.0,7.6,0.0,0.0
3,5,mar,tue,88.1,25.7,67.6,3.8,15.5,27.0,6.3,0.0,0.0
3,4,mar,sat,91.7,35.8,80.8,7.8,11.6,30.0,6.3,0.0,0.0
3,4,mar,sat,91.7,35.8,80.8,7.8,15.2,27.0,4.9,0.0,0.0
3,4,mar,mon,90.1,39.7,86.6,6.2,10.6,30.0,4.0,0.0,0.0
3,4,aug,thu,93.0,75.3,466.6,7.7,19.6,36.0,3.1,0.0,0.0
3,4,aug,mon,91.5,145.4,608.2,10.7,10.3,74.0,2.2,0.0,0.0
3,4,aug,mon,91.5,145.4,608.2,10.7,17.1,43.0,5.4,0.0,0.0
3,4,sep,sun,92.4,124.1,680.7,8.5,22.5,42.0,5.4,0.0,0.0
3,4,sep,tue,84.4,73.4,671.9,3.2,17.9,45.0,3.1,0.0,0.0
3,4,sep,fri,94.3,85.1,692.3,15.9,19.8,50.0,5.4,0.0,0.0
3,4,oct,sun,92.6,46.5,691.8,8.8,20.6,24.0,5.4,0.0,0.0
3,5,mar,mon,87.6,52.2,103.8,5.0,9.0,49.0,2.2,0.0,0.0
3,5,sep,fri,93.5,149.3,728.6,8.1,17.2,43.0,3.1,0.0,0.0
3,5,oct,wed,91.4,37.9,673.8,5.2,15.9,46.0,3.6,0.0,0.0
2,5,oct,sun,92.6,46.5,691.8,8.8,15.4,35.0,0.9,0.0,0.0
4,6,feb,sat,68.2,21.5,87.2,0.8,15.4,40.0,2.7,0.0,0.0
4,6,mar,mon,87.2,23.9,64.7,4.1,14.0,39.0,3.1,0.0,0.0
4,6,mar,sun,89.3,51.3,102.2,9.6,10.6,46.0,4.9,0.0,0.0
4,6,sep,thu,93.7,80.9,685.2,17.9,17.6,42.0,3.1,0.0,0.0
3,5,mar,tue,88.1,25.7,67.6,3.8,14.9,38.0,2.7,0.0,0.0
3,5,aug,sat,93.5,139.4,594.2,20.3,17.6,52.0,5.8,0.0,0.0
3,6,sep,sun,92.4,124.1,680.7,8.5,17.2,58.0,1.3,0.0,0.0
3,6,sep,mon,90.9,126.5,686.5,7.0,15.6,66.0,3.1,0.0,0.0
9,9,jul,tue,85.8,48.3,313.4,3.9,18.0,42.0,2.7,0.0,0.36
1,4,sep,tue,91.0,129.5,692.6,7.0,21.7,38.0,2.2,0.0,0.43
2,5,sep,mon,90.9,126.5,686.5,7.0,21.9,39.0,1.8,0.0,0.47
1,2,aug,wed,95.5,99.9,513.3,13.2,23.3,31.0,4.5,0.0,0.55
8,6,aug,fri,90.1,108.0,529.8,12.5,21.2,51.0,8.9,0.0,0.61
1,2,jul,sat,90.0,51.3,296.3,8.7,16.6,53.0,5.4,0.0,0.71
2,5,aug,wed,95.5,99.9,513.3,13.2,23.8,32.0,5.4,0.0,0.77
6,5,aug,thu,95.2,131.7,578.8,10.4,27.4,22.0,4.0,0.0,0.9
5,4,mar,mon,90.1,39.7,86.6,6.2,13.2,40.0,5.4,0.0,0.95
8,3,sep,tue,84.4,73.4,671.9,3.2,24.2,28.0,3.6,0.0,0.96
2,2,aug,tue,94.8,108.3,647.1,17.0,17.4,43.0,6.7,0.0,1.07
8,6,sep,thu,93.7,80.9,685.2,17.9,23.7,25.0,4.5,0.0,1.12
6,5,jun,fri,92.5,56.4,433.3,7.1,23.2,39.0,5.4,0.0,1.19
9,9,jul,sun,90.1,68.6,355.2,7.2,24.8,29.0,2.2,0.0,1.36
3,4,jul,sat,90.1,51.2,424.1,6.2,24.6,43.0,1.8,0.0,1.43
5,4,sep,fri,94.3,85.1,692.3,15.9,20.1,47.0,4.9,0.0,1.46
1,5,sep,sat,93.4,145.4,721.4,8.1,29.6,27.0,2.7,0.0,1.46
7,4,aug,sun,94.8,108.3,647.1,17.0,16.4,47.0,1.3,0.0,1.56
2,4,sep,sat,93.4,145.4,721.4,8.1,28.6,27.0,2.2,0.0,1.61
2,2,aug,wed,92.1,111.2,654.1,9.6,18.4,45.0,3.6,0.0,1.63
2,4,aug,wed,92.1,111.2,654.1,9.6,20.5,35.0,4.0,0.0,1.64
7,4,sep,fri,92.4,117.9,668.0,12.2,19.0,34.0,5.8,0.0,1.69
7,4,mar,mon,90.1,39.7,86.6,6.2,16.1,29.0,3.1,0.0,1.75
6,4,aug,thu,95.2,131.7,578.8,10.4,20.3,41.0,4.0,0.0,1.9
6,3,mar,sat,90.6,50.1,100.4,7.8,15.2,31.0,8.5,0.0,1.94
8,6,sep,sat,92.5,121.1,674.4,8.6,17.8,56.0,1.8,0.0,1.95
8,5,sep,sun,89.7,90.0,704.4,4.8,17.8,67.0,2.2,0.0,2.01
6,5,mar,thu,84.9,18.2,55.0,3.0,5.3,70.0,4.5,0.0,2.14
6,5,aug,wed,92.1,111.2,654.1,9.6,16.6,47.0,0.9,0.0,2.29
6,5,aug,wed,96.0,127.1,570.5,16.5,23.4,33.0,4.5,0.0,2.51
6,5,mar,fri,91.2,48.3,97.8,12.5,14.6,26.0,9.4,0.0,2.53
8,6,aug,thu,95.2,131.7,578.8,10.4,20.7,45.0,2.2,0.0,2.55
5,4,sep,wed,92.9,133.3,699.6,9.2,21.9,35.0,1.8,0.0,2.57
8,6,aug,wed,85.6,90.4,609.6,6.6,17.4,50.0,4.0,0.0,2.69
7,4,aug,sun,91.4,142.4,601.4,10.6,20.1,39.0,5.4,0.0,2.74
4,4,sep,mon,90.9,126.5,686.5,7.0,17.7,39.0,2.2,0.0,3.07
1,4,aug,sat,90.2,96.9,624.2,8.9,14.2,53.0,1.8,0.0,3.5
1,4,aug,sat,90.2,96.9,624.2,8.9,20.3,39.0,4.9,0.0,4.53
6,5,apr,thu,81.5,9.1,55.2,2.7,5.8,54.0,5.8,0.0,4.61
2,5,aug,sun,90.2,99.6,631.2,6.3,19.2,44.0,2.7,0.0,4.69
2,5,sep,wed,90.1,82.9,735.7,6.2,18.3,45.0,2.2,0.0,4.88
8,6,aug,tue,88.8,147.3,614.5,9.0,14.4,66.0,5.4,0.0,5.23
1,3,sep,sun,92.4,124.1,680.7,8.5,23.9,32.0,6.7,0.0,5.33
8,6,oct,mon,84.9,32.8,664.2,3.0,19.1,32.0,4.0,0.0,5.44
5,4,feb,sun,86.8,15.6,48.3,3.9,12.4,53.0,2.2,0.0,6.38
7,4,oct,mon,91.7,48.5,696.1,11.1,16.8,45.0,4.5,0.0,6.83
8,6,aug,fri,93.9,135.7,586.7,15.1,20.8,34.0,4.9,0.0,6.96
2,5,sep,tue,91.0,129.5,692.6,7.0,17.6,46.0,3.1,0.0,7.04
8,6,mar,sun,89.3,51.3,102.2,9.6,11.5,39.0,5.8,0.0,7.19
1,5,sep,mon,90.9,126.5,686.5,7.0,21.0,42.0,2.2,0.0,7.3
6,4,mar,sat,90.8,41.9,89.4,7.9,13.3,42.0,0.9,0.0,7.4
7,4,mar,sun,90.7,44.0,92.4,5.5,11.5,60.0,4.0,0.0,8.24
6,5,mar,fri,91.2,48.3,97.8,12.5,11.7,33.0,4.0,0.0,8.31
2,5,aug,thu,95.2,131.7,578.8,10.4,24.2,28.0,2.7,0.0,8.68
2,2,aug,tue,94.8,108.3,647.1,17.0,24.6,22.0,4.5,0.0,8.71
4,5,sep,wed,92.9,133.3,699.6,9.2,24.3,25.0,4.0,0.0,9.41
2,2,aug,tue,94.8,108.3,647.1,17.0,24.6,22.0,4.5,0.0,10.01
2,5,aug,fri,93.9,135.7,586.7,15.1,23.5,36.0,5.4,0.0,10.02
6,5,apr,thu,81.5,9.1,55.2,2.7,5.8,54.0,5.8,0.0,10.93
4,5,sep,thu,92.9,137.0,706.4,9.2,21.5,15.0,0.9,0.0,11.06
3,4,sep,tue,91.0,129.5,692.6,7.0,13.9,59.0,6.3,0.0,11.24
2,4,sep,mon,63.5,70.8,665.3,0.8,22.6,38.0,3.6,0.0,11.32
1,5,sep,tue,91.0,129.5,692.6,7.0,21.6,33.0,2.2,0.0,11.53
6,5,mar,sun,90.1,37.6,83.7,7.2,12.4,54.0,3.6,0.0,12.1
7,4,feb,sun,83.9,8.7,32.1,2.1,8.8,68.0,2.2,0.0,13.05
8,6,oct,wed,91.4,37.9,673.8,5.2,20.2,37.0,2.7,0.0,13.7
5,6,mar,sat,90.6,50.1,100.4,7.8,15.1,64.0,4.0,0.0,13.99
4,5,sep,thu,92.9,137.0,706.4,9.2,22.1,34.0,1.8,0.0,14.57
2,2,aug,sat,93.5,139.4,594.2,20.3,22.9,31.0,7.2,0.0,15.45
7,5,sep,tue,91.0,129.5,692.6,7.0,20.7,37.0,2.2,0.0,17.2
6,5,sep,fri,92.4,117.9,668.0,12.2,19.6,33.0,6.3,0.0,19.23
8,3,sep,thu,93.7,80.9,685.2,17.9,23.2,26.0,4.9,0.0,23.41
4,4,oct,sat,90.6,43.7,686.9,6.7,18.4,25.0,3.1,0.0,24.23
7,4,aug,sat,93.5,139.4,594.2,20.3,5.1,96.0,5.8,0.0,26.0
7,4,sep,fri,94.3,85.1,692.3,15.9,20.1,47.0,4.9,0.0,26.13
7,3,mar,mon,87.6,52.2,103.8,5.0,11.0,46.0,5.8,0.0,27.35
4,4,mar,sat,91.7,35.8,80.8,7.8,17.0,27.0,4.9,0.0,28.66
4,4,mar,sat,91.7,35.8,80.8,7.8,17.0,27.0,4.9,0.0,28.66
4,4,sep,sun,92.4,124.1,680.7,8.5,16.9,60.0,1.3,0.0,29.48
1,3,sep,mon,88.6,91.8,709.9,7.1,12.4,73.0,6.3,0.0,30.32
4,5,sep,wed,92.9,133.3,699.6,9.2,19.4,19.0,1.3,0.0,31.72
6,5,mar,mon,90.1,39.7,86.6,6.2,15.2,27.0,3.1,0.0,31.86
8,6,aug,sun,90.2,99.6,631.2,6.3,16.2,59.0,3.1,0.0,32.07
3,4,sep,fri,93.3,141.2,713.9,13.9,18.6,49.0,3.6,0.0,35.88
4,3,mar,mon,87.6,52.2,103.8,5.0,11.0,46.0,5.8,0.0,36.85
2,2,jul,fri,88.3,150.3,309.9,6.8,13.4,79.0,3.6,0.0,37.02
7,4,sep,wed,90.1,82.9,735.7,6.2,15.4,57.0,4.5,0.0,37.71
4,4,sep,sun,93.5,149.3,728.6,8.1,22.9,39.0,4.9,0.0,48.55
7,5,oct,mon,91.7,48.5,696.1,11.1,16.1,44.0,4.0,0.0,49.37
8,6,aug,sat,92.2,81.8,480.8,11.9,20.1,34.0,4.5,0.0,58.3
4,6,sep,sun,93.5,149.3,728.6,8.1,28.3,26.0,3.1,0.0,64.1
8,6,aug,sat,92.2,81.8,480.8,11.9,16.4,43.0,4.0,0.0,71.3
4,4,sep,wed,92.9,133.3,699.6,9.2,26.4,21.0,4.5,0.0,88.49
1,5,sep,sun,93.5,149.3,728.6,8.1,27.8,27.0,3.1,0.0,95.18
6,4,sep,tue,91.0,129.5,692.6,7.0,18.7,43.0,2.7,0.0,103.39
9,4,sep,tue,84.4,73.4,671.9,3.2,24.3,36.0,3.1,0.0,105.66
4,5,sep,sat,92.5,121.1,674.4,8.6,17.7,25.0,3.1,0.0,154.88
8,6,aug,sun,91.4,142.4,601.4,10.6,19.6,41.0,5.8,0.0,196.48
2,2,sep,sat,92.5,121.1,674.4,8.6,18.2,46.0,1.8,0.0,200.94
1,2,sep,tue,91.0,129.5,692.6,7.0,18.8,40.0,2.2,0.0,212.88
6,5,sep,sat,92.5,121.1,674.4,8.6,25.1,27.0,4.0,0.0,1090.84
7,5,apr,sun,81.9,3.0,7.9,3.5,13.4,75.0,1.8,0.0,0.0
6,3,apr,wed,88.0,17.2,43.5,3.8,15.2,51.0,2.7,0.0,0.0
4,4,apr,fri,83.0,23.3,85.3,2.3,16.7,20.0,3.1,0.0,0.0
2,4,aug,sun,94.2,122.3,589.9,12.9,15.4,66.0,4.0,0.0,10.13
7,4,aug,sun,91.8,175.1,700.7,13.8,21.9,73.0,7.6,1.0,0.0
2,4,aug,sun,91.8,175.1,700.7,13.8,22.4,54.0,7.6,0.0,2.87
3,4,aug,sun,91.8,175.1,700.7,13.8,26.8,38.0,6.3,0.0,0.76
5,4,aug,sun,91.8,175.1,700.7,13.8,25.7,39.0,5.4,0.0,0.09
2,4,aug,wed,92.2,91.6,503.6,9.6,20.7,70.0,2.2,0.0,0.75
8,6,aug,wed,93.1,157.3,666.7,13.5,28.7,28.0,2.7,0.0,0.0
3,4,aug,wed,93.1,157.3,666.7,13.5,21.7,40.0,0.4,0.0,2.47
8,5,aug,wed,93.1,157.3,666.7,13.5,26.8,25.0,3.1,0.0,0.68
8,5,aug,wed,93.1,157.3,666.7,13.5,24.0,36.0,3.1,0.0,0.24
6,5,aug,wed,93.1,157.3,666.7,13.5,22.1,37.0,3.6,0.0,0.21
7,4,aug,thu,91.9,109.2,565.5,8.0,21.4,38.0,2.7,0.0,1.52
6,3,aug,thu,91.6,138.1,621.7,6.3,18.9,41.0,3.1,0.0,10.34
2,5,aug,thu,87.5,77.0,694.8,5.0,22.3,46.0,4.0,0.0,0.0
8,6,aug,sat,94.2,117.2,581.1,11.0,23.9,41.0,2.2,0.0,8.02
4,3,aug,sat,94.2,117.2,581.1,11.0,21.4,44.0,2.7,0.0,0.68
3,4,aug,sat,91.8,170.9,692.3,13.7,20.6,59.0,0.9,0.0,0.0
7,4,aug,sat,91.8,170.9,692.3,13.7,23.7,40.0,1.8,0.0,1.38
2,4,aug,mon,93.6,97.9,542.0,14.4,28.3,32.0,4.0,0.0,8.85
3,4,aug,fri,91.6,112.4,573.0,8.9,11.2,84.0,7.6,0.0,3.3
2,4,aug,fri,91.6,112.4,573.0,8.9,21.4,42.0,3.1,0.0,4.25
6,3,aug,fri,91.1,141.1,629.1,7.1,19.3,39.0,3.6,0.0,1.56
4,4,aug,fri,94.3,167.6,684.4,13.0,21.8,53.0,3.1,0.0,6.54
4,4,aug,tue,93.7,102.2,550.3,14.6,22.1,54.0,7.6,0.0,0.79
6,5,aug,tue,94.3,131.7,607.1,22.7,19.4,55.0,4.0,0.0,0.17
2,2,aug,tue,92.1,152.6,658.2,14.3,23.7,24.0,3.1,0.0,0.0
3,4,aug,tue,92.1,152.6,658.2,14.3,21.0,32.0,3.1,0.0,0.0
4,4,aug,tue,92.1,152.6,658.2,14.3,19.1,53.0,2.7,0.0,4.4
2,2,aug,tue,92.1,152.6,658.2,14.3,21.8,56.0,3.1,0.0,0.52
8,6,aug,tue,92.1,152.6,658.2,14.3,20.1,58.0,4.5,0.0,9.27
2,5,aug,tue,92.1,152.6,658.2,14.3,20.2,47.0,4.0,0.0,3.09
4,6,dec,sun,84.4,27.2,353.5,6.8,4.8,57.0,8.5,0.0,8.98
8,6,dec,wed,84.0,27.8,354.6,5.3,5.1,61.0,8.0,0.0,11.19
4,6,dec,thu,84.6,26.4,352.0,2.0,5.1,61.0,4.9,0.0,5.38
4,4,dec,mon,85.4,25.4,349.7,2.6,4.6,21.0,8.5,0.0,17.85
3,4,dec,mon,85.4,25.4,349.7,2.6,4.6,21.0,8.5,0.0,10.73
4,4,dec,mon,85.4,25.4,349.7,2.6,4.6,21.0,8.5,0.0,22.03
4,4,dec,mon,85.4,25.4,349.7,2.6,4.6,21.0,8.5,0.0,9.77
4,6,dec,fri,84.7,26.7,352.6,4.1,2.2,59.0,4.9,0.0,9.27
6,5,dec,tue,85.4,25.4,349.7,2.6,5.1,24.0,8.5,0.0,24.77
6,3,feb,sun,84.9,27.5,353.5,3.4,4.2,51.0,4.0,0.0,0.0
3,4,feb,wed,86.9,6.6,18.7,3.2,8.8,35.0,3.1,0.0,1.1
5,4,feb,fri,85.2,4.9,15.8,6.3,7.5,46.0,8.0,0.0,24.24
2,5,jul,sun,93.9,169.7,411.8,12.3,23.4,40.0,6.3,0.0,0.0
7,6,jul,wed,91.2,183.1,437.7,12.5,12.6,90.0,7.6,0.2,0.0
7,4,jul,sat,91.6,104.2,474.9,9.0,22.1,49.0,2.7,0.0,0.0
7,4,jul,sat,91.6,104.2,474.9,9.0,24.2,32.0,1.8,0.0,0.0
7,4,jul,sat,91.6,104.2,474.9,9.0,24.3,30.0,1.8,0.0,0.0
2,5,jul,sat,91.6,104.2,474.9,9.0,18.7,53.0,1.8,0.0,0.0
9,4,jul,sat,91.6,104.2,474.9,9.0,25.3,39.0,0.9,0.0,8.0
4,5,jul,fri,91.6,100.2,466.3,6.3,22.9,40.0,1.3,0.0,2.64
7,6,jul,tue,93.1,180.4,430.8,11.0,26.9,28.0,5.4,0.0,86.45
8,6,jul,tue,92.3,88.8,440.9,8.5,17.1,67.0,3.6,0.0,6.57
7,5,jun,sun,93.1,180.4,430.8,11.0,22.2,48.0,1.3,0.0,0.0
6,4,jun,sun,90.4,89.5,290.8,6.4,14.3,46.0,1.8,0.0,0.9
8,6,jun,sun,90.4,89.5,290.8,6.4,15.4,45.0,2.2,0.0,0.0
8,6,jun,wed,91.2,147.8,377.2,12.7,19.6,43.0,4.9,0.0,0.0
6,5,jun,sat,53.4,71.0,233.8,0.4,10.6,90.0,2.7,0.0,0.0
6,5,jun,mon,90.4,93.3,298.1,7.5,20.7,25.0,4.9,0.0,0.0
6,5,jun,mon,90.4,93.3,298.1,7.5,19.1,39.0,5.4,0.0,3.52
